



name                                 #n       tsub       ttot       tavg
..PROJECT/engine.py.getFrameCount:19 226      0.000409   0.000409   0.000002   
..NHOU-PROJECT/level.py.bottomEdge:8 54       0.000399   0.000399   0.000007   
..t/NANHOU-PROJECT/main.py.tsprint:1 9        0.000335   0.000395   0.000044   
..NHOU-PROJECT/events.py.__init__:10 1        0.000370   0.000379   0.000379   
..s/pkg_resources.py.yield_lines:184 42       0.000217   0.000369   0.000009   
..s/pkg_resources.py.get_provider:17 2        0.000022   0.000365   0.000182   
..ages/pkg_resources.py.__init__:124 2        0.000017   0.000306   0.000153   
./main.py.tsprint:14                 4        0.000226   0.000260   0.000065   
..python2.6/threading.py.__init__:42 2        0.000053   0.000244   0.000122   
..kg_resources.py.resource_exists:85 1        0.000008   0.000238   0.000238   
..pkg_resources.py._setup_prefix:124 2        0.000073   0.000235   0.000117   
../NANHOU-PROJECT/collision.py.noop: 132      0.000227   0.000227   0.000002   
..kg_resources.py.resource_stream:87 1        0.000007   0.000221   0.000221   
..NANHOU-PROJECT/level.py.leftEdge:7 36       0.000216   0.000216   0.000006   
../python2.6/sre_parse.py._escape:26 27       0.000134   0.000206   0.000008   
..ANHOU-PROJECT/level.py.rightEdge:7 27       0.000191   0.000191   0.000007   
..python2.6/sre_parse.py.__init__:18 13       0.000053   0.000177   0.000014   
../python2.6/sre_parse.py.__init__:9 85       0.000175   0.000175   0.000002   
../pkg_resources.py.has_metadata:148 117      0.000171   0.000171   0.000001   
..OJECT/engine.py.enemyBulletTest:29 66       0.000153   0.000153   0.000002   
..on2.6/distutils/spawn.py.<module>: 1        0.000120   0.000151   0.000151   
..U-PROJECT/events.py.readKeyState:5 5        0.000070   0.000150   0.000030   
..it/NANHOU-PROJECT/level.py.Fairy:5 1        0.000011   0.000139   0.000139   
..kages/pkg_resources.py.__iter__:47 55       0.000135   0.000135   0.000002   
..ages/pkg_resources.py.__init__:148 80       0.000132   0.000132   0.000002   
